ODA/PALLFNF_INDEX,All Commodity Price Index
ODA/GMB_PPPPC,"The Gambia Per Capita GDP based on PPP Valuation, USD"
ODA/GMB_TXG_RPCH,"The Gambia Exports of Goods, % change"
ODA/GMB_PPPEX,"The Gambia Implied PPP Conversion Rate, LCU per USD"
ODA/GMB_GGR,"The Gambia General Government Revenue, USD Billions"
ODA/GMB_GGR_NGDP,"The Gambia General Government Revenue, % of GDP"
ODA/GMB_NGSD_NGDP,"The Gambia Gross National Savings, % of GDP"
ODA/GMB_PCPI,"The Gambia Inflation Index, Average Consumer Prices"
ODA/GMB_GGX_NGDP,"The Gambia General Government Total Expenditure, % of GDP"
ODA/GMB_PCPIE,"The Gambia Inflation Index, End of Period Consumer Prices"
ODA/GMB_GGXCNL_NGDP,"The Gambia General Government Net Lending/Borrowing, % of GDP"
ODA/GMB_GGSB,"The Gambia General Government Structural Balance, USD Billions"
ODA/GMB_TMG_RPCH,"The Gambia Imports of Goods, % change"
ODA/GMB_TX_RPCH,"The Gambia Exports of Goods and services, % change"
ODA/GMB_LP,"The Gambia Population, Millions"
ODA/GMB_GGX,"The Gambia General Government Total Expenditure, USD Billions"
ODA/GMB_NGDP_FY,"The Gambia GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/GMB_GGXCNL,"The Gambia General Government Net Lending/Borrowing, USD Billions"
ODA/GMB_BCA_NGDPD,"The Gambia Current Account Balance, % of GDP"
ODA/GEO_NGDP_R,"Georgia GDP at Constant Prices, LCU Billions"
ODA/GMB_GGXONLB,"The Gambia General Government Primary Net Lending/Borrowing, USD Billions"
ODA/GEO_NGDP_RPCH,"Georgia GDP at Constant Prices, % change"
ODA/GMB_GGXONLB_NGDP,"The Gambia General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/GMB_GGXWDN,"The Gambia General Government Net Debt, USD Billions"
ODA/GEO_NGDPD,"Georgia GDP at Current Prices, USD Billions"
ODA/GMB_GGXWDN_NGDP,"The Gambia General Government Net Debt, % of GDP"
ODA/GMB_GGXWDG,"The Gambia General Government Gross Debt, USD Billions"
ODA/GEO_NGDP_D,Georgia GDP Deflator
ODA/GMB_GGXWDG_NGDP,"The Gambia General Government Gross Debt, % of GDP"
ODA/GMB_BCA,"The Gambia Current Account Balance, USD Billions"
ODA/GEO_PPPGDP,"Georgia Country GDP based on PPP Valuation, USD Billions"
ODA/GEO_PPPPC,"Georgia Per Capita GDP based on PPP Valuation, USD"
ODA/GEO_PPPSH,"Georgia Share of World GDP based on PPP, %"
ODA/GEO_NGDP,"Georgia GDP at Current Prices, LCU Billions"
ODA/GEO_NID_NGDP,"Georgia Total Investment, % of GDP"
ODA/GEO_NGSD_NGDP,"Georgia Gross National Savings, % of GDP"
ODA/GEO_PCPI,"Georgia Inflation Index, Average Consumer Prices"
ODA/GEO_NGDPRPC,"Georgia GDP per Capita at Constant Prices, LCU"
ODA/GEO_PCPIE,"Georgia Inflation Index, End of Period Consumer Prices"
ODA/GEO_NGDPPC,"Georgia GDP per Capita at Current Prices, LCU"
ODA/GEO_NGDPDPC,"Georgia GDP per Capita at Current Prices, USD"
ODA/GEO_TM_RPCH,"Georgia Imports of Goods and services, % change"
ODA/GEO_PPPEX,"Georgia Implied PPP Conversion Rate, LCU per USD"
ODA/GEO_TXG_RPCH,"Georgia Exports of Goods, % change"
ODA/GEO_LP,"Georgia Population, Millions"
ODA/GEO_PCPIPCH,"Georgia Inflation % change, Average Consumer Prices"
ODA/GEO_PCPIEPCH,"Georgia Inflation % change, End of Period Consumer Prices"
ODA/GEO_GGX,"Georgia General Government Total Expenditure, USD Billions"
ODA/GEO_GGX_NGDP,"Georgia General Government Total Expenditure, % of GDP"
ODA/GEO_TMG_RPCH,"Georgia Imports of Goods, % change"
ODA/GEO_GGXCNL_NGDP,"Georgia General Government Net Lending/Borrowing, % of GDP"
ODA/GEO_TX_RPCH,"Georgia Exports of Goods and services, % change"
ODA/GEO_GGSB,"Georgia General Government Structural Balance, USD Billions"
ODA/GEO_LUR,"Georgia Unemployment Rate, % of Total Labor Force"
ODA/GEO_GGXWDG,"Georgia General Government Gross Debt, USD Billions"
ODA/GEO_GGR,"Georgia General Government Revenue, USD Billions"
ODA/GEO_GGR_NGDP,"Georgia General Government Revenue, % of GDP"
ODA/DEU_NGDP_R,"Germany GDP at Constant Prices, LCU Billions"
ODA/GEO_GGXCNL,"Georgia General Government Net Lending/Borrowing, USD Billions"
ODA/DEU_NGDP_RPCH,"Germany GDP at Constant Prices, % change"
ODA/DEU_NGDP,"Germany GDP at Current Prices, LCU Billions"
ODA/DEU_NGDPD,"Germany GDP at Current Prices, USD Billions"
ODA/GEO_GGSB_NPGDP,"Georgia General Government Structural Balance, % of GDP"
ODA/DEU_NGDPRPC,"Germany GDP per Capita at Constant Prices, LCU"
ODA/GEO_GGXWDG_NGDP,"Georgia General Government Gross Debt, % of GDP"
ODA/DEU_NGDPPC,"Germany GDP per Capita at Current Prices, LCU"
ODA/GEO_NGDP_FY,"Georgia GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/DEU_NGDPDPC,"Germany GDP per Capita at Current Prices, USD"
ODA/GEO_BCA,"Georgia Current Account Balance, USD Billions"
ODA/GEO_BCA_NGDPD,"Georgia Current Account Balance, % of GDP"
ODA/DEU_PPPGDP,"Germany Country GDP based on PPP Valuation, USD Billions"
ODA/DEU_NID_NGDP,"Germany Total Investment, % of GDP"
ODA/DEU_NGDP_D,Germany GDP Deflator
ODA/DEU_PCPI,"Germany Inflation Index, Average Consumer Prices"
ODA/DEU_PCPIEPCH,"Germany Inflation % change, End of Period Consumer Prices"
ODA/DEU_NGAP_NPGDP,"Germany Output Gap, % of potential GDP"
ODA/DEU_TM_RPCH,"Germany Imports of Goods and services, % change"
ODA/DEU_PPPPC,"Germany Per Capita GDP based on PPP Valuation, USD"
ODA/DEU_PPPSH,"Germany Share of World GDP based on PPP, %"
ODA/DEU_PPPEX,"Germany Implied PPP Conversion Rate, LCU per USD"
ODA/DEU_TXG_RPCH,"Germany Exports of Goods, % change"
ODA/DEU_LUR,"Germany Unemployment Rate, % of Total Labor Force"
ODA/DEU_NGSD_NGDP,"Germany Gross National Savings, % of GDP"
ODA/DEU_LP,"Germany Population, Millions"
ODA/DEU_PCPIPCH,"Germany Inflation % change, Average Consumer Prices"
ODA/DEU_PCPIE,"Germany Inflation Index, End of Period Consumer Prices"
ODA/DEU_GGX,"Germany General Government Total Expenditure, USD Billions"
ODA/DEU_GGX_NGDP,"Germany General Government Total Expenditure, % of GDP"
ODA/DEU_TMG_RPCH,"Germany Imports of Goods, % change"
ODA/DEU_GGXCNL_NGDP,"Germany General Government Net Lending/Borrowing, % of GDP"
ODA/DEU_TX_RPCH,"Germany Exports of Goods and services, % change"
ODA/DEU_GGSB,"Germany General Government Structural Balance, USD Billions"
ODA/DEU_GGXONLB,"Germany General Government Primary Net Lending/Borrowing, USD Billions"
ODA/DEU_LE,"Germany Employment, Millions"
ODA/DEU_GGXONLB_NGDP,"Germany General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/DEU_GGXWDN,"Germany General Government Net Debt, USD Billions"
ODA/DEU_GGR,"Germany General Government Revenue, USD Billions"
ODA/DEU_GGXWDN_NGDP,"Germany General Government Net Debt, % of GDP"
ODA/DEU_GGR_NGDP,"Germany General Government Revenue, % of GDP"
ODA/DEU_GGXWDG,"Germany General Government Gross Debt, USD Billions"
ODA/DEU_GGXWDG_NGDP,"Germany General Government Gross Debt, % of GDP"
ODA/DEU_GGXCNL,"Germany General Government Net Lending/Borrowing, USD Billions"
ODA/DEU_BCA,"Germany Current Account Balance, USD Billions"
ODA/DEU_GGSB_NPGDP,"Germany General Government Structural Balance, % of GDP"
ODA/GHA_NGDP_R,"Ghana GDP at Constant Prices, LCU Billions"
ODA/GHA_NGDP,"Ghana GDP at Current Prices, LCU Billions"
ODA/GHA_NGDP_D,Ghana GDP Deflator
ODA/DEU_NGDP_FY,"Germany GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/GHA_NGDPPC,"Ghana GDP per Capita at Current Prices, LCU"
ODA/GHA_PPPGDP,"Ghana Country GDP based on PPP Valuation, USD Billions"
ODA/DEU_BCA_NGDPD,"Germany Current Account Balance, % of GDP"
ODA/GHA_PPPSH,"Ghana Share of World GDP based on PPP, %"
ODA/GHA_PPPEX,"Ghana Implied PPP Conversion Rate, LCU per USD"
ODA/GHA_NGDP_RPCH,"Ghana GDP at Constant Prices, % change"
ODA/GHA_NID_NGDP,"Ghana Total Investment, % of GDP"
ODA/GHA_NGDPD,"Ghana GDP at Current Prices, USD Billions"
ODA/GHA_PCPI,"Ghana Inflation Index, Average Consumer Prices"
ODA/GHA_NGDPRPC,"Ghana GDP per Capita at Constant Prices, LCU"
ODA/GHA_PCPIEPCH,"Ghana Inflation % change, End of Period Consumer Prices"
ODA/GHA_NGDPDPC,"Ghana GDP per Capita at Current Prices, USD"
ODA/GHA_TMG_RPCH,"Ghana Imports of Goods, % change"
ODA/GHA_PPPPC,"Ghana Per Capita GDP based on PPP Valuation, USD"
ODA/GHA_TXG_RPCH,"Ghana Exports of Goods, % change"
ODA/GHA_NGSD_NGDP,"Ghana Gross National Savings, % of GDP"
ODA/GHA_PCPIPCH,"Ghana Inflation % change, Average Consumer Prices"
ODA/GHA_GGR_NGDP,"Ghana General Government Revenue, % of GDP"
ODA/GHA_PCPIE,"Ghana Inflation Index, End of Period Consumer Prices"
ODA/GHA_GGX_NGDP,"Ghana General Government Total Expenditure, % of GDP"
ODA/GHA_TM_RPCH,"Ghana Imports of Goods and services, % change"
ODA/GHA_GGXCNL,"Ghana General Government Net Lending/Borrowing, USD Billions"
ODA/GHA_TX_RPCH,"Ghana Exports of Goods and services, % change"
ODA/GHA_GGXWDN,"Ghana General Government Net Debt, USD Billions"
ODA/GHA_GGXWDG,"Ghana General Government Gross Debt, USD Billions"
ODA/GHA_LP,"Ghana Population, Millions"
ODA/GHA_GGR,"Ghana General Government Revenue, USD Billions"
ODA/GHA_NGDP_FY,"Ghana GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/GHA_GGX,"Ghana General Government Total Expenditure, USD Billions"
ODA/GHA_BCA_NGDPD,"Ghana Current Account Balance, % of GDP"
ODA/GHA_GGXCNL_NGDP,"Ghana General Government Net Lending/Borrowing, % of GDP"
ODA/GRC_NGDP_RPCH,"Greece GDP at Constant Prices, % change"
ODA/GHA_GGXWDN_NGDP,"Ghana General Government Net Debt, % of GDP"
ODA/GRC_NGDPD,"Greece GDP at Current Prices, USD Billions"
ODA/GHA_GGXWDG_NGDP,"Ghana General Government Gross Debt, % of GDP"
ODA/GRC_NGDPPC,"Greece GDP per Capita at Current Prices, LCU"
ODA/GHA_BCA,"Ghana Current Account Balance, USD Billions"
ODA/GRC_NGAP_NPGDP,"Greece Output Gap, % of potential GDP"
ODA/GRC_NGDP_R,"Greece GDP at Constant Prices, LCU Billions"
ODA/GRC_PPPPC,"Greece Per Capita GDP based on PPP Valuation, USD"
ODA/GRC_PPPEX,"Greece Implied PPP Conversion Rate, LCU per USD"
ODA/GRC_NGDP,"Greece GDP at Current Prices, LCU Billions"
ODA/GRC_NGSD_NGDP,"Greece Gross National Savings, % of GDP"
ODA/GRC_NGDP_D,Greece GDP Deflator
ODA/GRC_NGDPRPC,"Greece GDP per Capita at Constant Prices, LCU"
ODA/GRC_PCPIPCH,"Greece Inflation % change, Average Consumer Prices"
ODA/GRC_PCPIEPCH,"Greece Inflation % change, End of Period Consumer Prices"
ODA/GRC_NGDPDPC,"Greece GDP per Capita at Current Prices, USD"
ODA/GRC_TMG_RPCH,"Greece Imports of Goods, % change"
ODA/GRC_PPPGDP,"Greece Country GDP based on PPP Valuation, USD Billions"
ODA/GRC_TXG_RPCH,"Greece Exports of Goods, % change"
ODA/GRC_PPPSH,"Greece Share of World GDP based on PPP, %"
ODA/GRC_LUR,"Greece Unemployment Rate, % of Total Labor Force"
ODA/GRC_NID_NGDP,"Greece Total Investment, % of GDP"
ODA/GRC_LP,"Greece Population, Millions"
ODA/GRC_PCPI,"Greece Inflation Index, Average Consumer Prices"
ODA/GRC_GGR_NGDP,"Greece General Government Revenue, % of GDP"
ODA/GRC_PCPIE,"Greece Inflation Index, End of Period Consumer Prices"
ODA/GRC_GGX_NGDP,"Greece General Government Total Expenditure, % of GDP"
ODA/GRC_TM_RPCH,"Greece Imports of Goods and services, % change"
ODA/GRC_GGXCNL_NGDP,"Greece General Government Net Lending/Borrowing, % of GDP"
ODA/GRC_TX_RPCH,"Greece Exports of Goods and services, % change"
ODA/GRC_GGSB_NPGDP,"Greece General Government Structural Balance, % of GDP"
ODA/GRC_LE,"Greece Employment, Millions"
ODA/GRC_GGXONLB_NGDP,"Greece General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/GRC_GGR,"Greece General Government Revenue, USD Billions"
ODA/GRC_GGXWDN_NGDP,"Greece General Government Net Debt, % of GDP"
ODA/GRC_GGX,"Greece General Government Total Expenditure, USD Billions"
ODA/GRC_GGXWDG_NGDP,"Greece General Government Gross Debt, % of GDP"
ODA/GRC_GGXCNL,"Greece General Government Net Lending/Borrowing, USD Billions"
ODA/GRC_BCA,"Greece Current Account Balance, USD Billions"
ODA/GRC_GGSB,"Greece General Government Structural Balance, USD Billions"
ODA/GRD_NGDP_R,"Grenada GDP at Constant Prices, LCU Billions"
ODA/GRD_NGDP_RPCH,"Grenada GDP at Constant Prices, % change"
ODA/GRC_GGXONLB,"Greece General Government Primary Net Lending/Borrowing, USD Billions"
ODA/GRC_GGXWDN,"Greece General Government Net Debt, USD Billions"
ODA/GRD_NGDPD,"Grenada GDP at Current Prices, USD Billions"
ODA/GRD_NGDP_D,Grenada GDP Deflator
ODA/GRC_GGXWDG,"Greece General Government Gross Debt, USD Billions"
ODA/GRD_NGDPPC,"Grenada GDP per Capita at Current Prices, LCU"
ODA/GRC_NGDP_FY,"Greece GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/GRD_PPPGDP,"Grenada Country GDP based on PPP Valuation, USD Billions"
ODA/GRC_BCA_NGDPD,"Greece Current Account Balance, % of GDP"
ODA/GRD_PPPSH,"Grenada Share of World GDP based on PPP, %"
ODA/GRD_NGDP,"Grenada GDP at Current Prices, LCU Billions"
ODA/GRD_NGSD_NGDP,"Grenada Gross National Savings, % of GDP"
ODA/GRD_PCPI,"Grenada Inflation Index, Average Consumer Prices"
ODA/GRD_NGDPRPC,"Grenada GDP per Capita at Constant Prices, LCU"
ODA/GRD_PCPIE,"Grenada Inflation Index, End of Period Consumer Prices"
ODA/GRD_NGDPDPC,"Grenada GDP per Capita at Current Prices, USD"
ODA/GRD_TM_RPCH,"Grenada Imports of Goods and services, % change"
ODA/GRD_PPPPC,"Grenada Per Capita GDP based on PPP Valuation, USD"
ODA/GRD_TX_RPCH,"Grenada Exports of Goods and services, % change"
ODA/GRD_PPPEX,"Grenada Implied PPP Conversion Rate, LCU per USD"
ODA/GRD_NID_NGDP,"Grenada Total Investment, % of GDP"
ODA/GRD_LP,"Grenada Population, Millions"
ODA/GRD_GGR_NGDP,"Grenada General Government Revenue, % of GDP"
ODA/GRD_PCPIPCH,"Grenada Inflation % change, Average Consumer Prices"
ODA/GRD_GGX_NGDP,"Grenada General Government Total Expenditure, % of GDP"
ODA/GRD_PCPIEPCH,"Grenada Inflation % change, End of Period Consumer Prices"
ODA/GRD_TMG_RPCH,"Grenada Imports of Goods, % change"
ODA/GRD_GGXONLB,"Grenada General Government Primary Net Lending/Borrowing, USD Billions"
ODA/GRD_TXG_RPCH,"Grenada Exports of Goods, % change"
ODA/GRD_GGXWDN,"Grenada General Government Net Debt, USD Billions"
ODA/GRD_GGR,"Grenada General Government Revenue, USD Billions"
ODA/GRD_GGXWDG,"Grenada General Government Gross Debt, USD Billions"
ODA/GRD_GGXWDG_NGDP,"Grenada General Government Gross Debt, % of GDP"
ODA/GRD_GGX,"Grenada General Government Total Expenditure, USD Billions"
ODA/GRD_BCA,"Grenada Current Account Balance, USD Billions"
ODA/GRD_GGXCNL,"Grenada General Government Net Lending/Borrowing, USD Billions"
ODA/GRD_GGXCNL_NGDP,"Grenada General Government Net Lending/Borrowing, % of GDP"
ODA/GTM_NGDP_R,"Guatemala GDP at Constant Prices, LCU Billions"
ODA/GTM_NGDP_RPCH,"Guatemala GDP at Constant Prices, % change"
ODA/GRD_GGXONLB_NGDP,"Grenada General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/GTM_NGDP,"Guatemala GDP at Current Prices, LCU Billions"
ODA/GRD_GGXWDN_NGDP,"Grenada General Government Net Debt, % of GDP"
ODA/GTM_NGDP_D,Guatemala GDP Deflator
ODA/GRD_NGDP_FY,"Grenada GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/GTM_NGDPPC,"Guatemala GDP per Capita at Current Prices, LCU"
ODA/GTM_NGDPDPC,"Guatemala GDP per Capita at Current Prices, USD"
ODA/GRD_BCA_NGDPD,"Grenada Current Account Balance, % of GDP"
ODA/GTM_PPPPC,"Guatemala Per Capita GDP based on PPP Valuation, USD"
ODA/GTM_PPPEX,"Guatemala Implied PPP Conversion Rate, LCU per USD"
ODA/GTM_NGDPD,"Guatemala GDP at Current Prices, USD Billions"
ODA/GTM_NGSD_NGDP,"Guatemala Gross National Savings, % of GDP"
ODA/GTM_PCPIPCH,"Guatemala Inflation % change, Average Consumer Prices"
ODA/GTM_NGDPRPC,"Guatemala GDP per Capita at Constant Prices, LCU"
ODA/GTM_PCPIEPCH,"Guatemala Inflation % change, End of Period Consumer Prices"
ODA/GTM_PPPGDP,"Guatemala Country GDP based on PPP Valuation, USD Billions"
ODA/GTM_TM_RPCH,"Guatemala Imports of Goods and services, % change"
ODA/GTM_PPPSH,"Guatemala Share of World GDP based on PPP, %"
ODA/GTM_TX_RPCH,"Guatemala Exports of Goods and services, % change"
ODA/GTM_NID_NGDP,"Guatemala Total Investment, % of GDP"
ODA/GTM_LP,"Guatemala Population, Millions"
ODA/GTM_PCPI,"Guatemala Inflation Index, Average Consumer Prices"
ODA/GTM_GGR_NGDP,"Guatemala General Government Revenue, % of GDP"
ODA/GTM_PCPIE,"Guatemala Inflation Index, End of Period Consumer Prices"
ODA/GTM_GGX_NGDP,"Guatemala General Government Total Expenditure, % of GDP"
ODA/GTM_TMG_RPCH,"Guatemala Imports of Goods, % change"
ODA/GTM_GGXCNL_NGDP,"Guatemala General Government Net Lending/Borrowing, % of GDP"
ODA/GTM_TXG_RPCH,"Guatemala Exports of Goods, % change"
ODA/GTM_GGXONLB_NGDP,"Guatemala General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/GTM_GGR,"Guatemala General Government Revenue, USD Billions"
ODA/GTM_GGXWDG_NGDP,"Guatemala General Government Gross Debt, % of GDP"
ODA/GTM_GGX,"Guatemala General Government Total Expenditure, USD Billions"
ODA/GTM_BCA,"Guatemala Current Account Balance, USD Billions"
ODA/GTM_GGXCNL,"Guatemala General Government Net Lending/Borrowing, USD Billions"
ODA/GIN_NGDP_R,"Guinea GDP at Constant Prices, LCU Billions"
ODA/GTM_GGXONLB,"Guatemala General Government Primary Net Lending/Borrowing, USD Billions"
ODA/GIN_NGDP,"Guinea GDP at Current Prices, LCU Billions"
ODA/GIN_NGDPD,"Guinea GDP at Current Prices, USD Billions"
ODA/GTM_GGXWDG,"Guatemala General Government Gross Debt, USD Billions"
ODA/GIN_NGDPRPC,"Guinea GDP per Capita at Constant Prices, LCU"
ODA/GTM_NGDP_FY,"Guatemala GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/GIN_NGDPDPC,"Guinea GDP per Capita at Current Prices, USD"
ODA/GTM_BCA_NGDPD,"Guatemala Current Account Balance, % of GDP"
ODA/GIN_PPPPC,"Guinea Per Capita GDP based on PPP Valuation, USD"
ODA/GIN_PPPEX,"Guinea Implied PPP Conversion Rate, LCU per USD"
ODA/GIN_NGDP_RPCH,"Guinea GDP at Constant Prices, % change"
ODA/GIN_NGSD_NGDP,"Guinea Gross National Savings, % of GDP"
ODA/GIN_NGDP_D,Guinea GDP Deflator
ODA/GIN_PCPIPCH,"Guinea Inflation % change, Average Consumer Prices"
ODA/GIN_PCPIEPCH,"Guinea Inflation % change, End of Period Consumer Prices"
ODA/GIN_NGDPPC,"Guinea GDP per Capita at Current Prices, LCU"
ODA/GIN_TM_RPCH,"Guinea Imports of Goods and services, % change"
ODA/GIN_PPPGDP,"Guinea Country GDP based on PPP Valuation, USD Billions"
ODA/GIN_TX_RPCH,"Guinea Exports of Goods and services, % change"
ODA/GIN_PPPSH,"Guinea Share of World GDP based on PPP, %"
ODA/GIN_TXG_RPCH,"Guinea Exports of Goods, % change"
ODA/GIN_NID_NGDP,"Guinea Total Investment, % of GDP"
ODA/GIN_GGR,"Guinea General Government Revenue, USD Billions"
ODA/GIN_PCPI,"Guinea Inflation Index, Average Consumer Prices"
ODA/GIN_PCPIE,"Guinea Inflation Index, End of Period Consumer Prices"
ODA/GIN_GGX,"Guinea General Government Total Expenditure, USD Billions"
ODA/GIN_GGX_NGDP,"Guinea General Government Total Expenditure, % of GDP"
ODA/GIN_TMG_RPCH,"Guinea Imports of Goods, % change"
ODA/GIN_GGXONLB,"Guinea General Government Primary Net Lending/Borrowing, USD Billions"
ODA/GIN_GGXWDN,"Guinea General Government Net Debt, USD Billions"
ODA/GIN_LP,"Guinea Population, Millions"
ODA/GIN_GGR_NGDP,"Guinea General Government Revenue, % of GDP"
ODA/GIN_GGXWDG,"Guinea General Government Gross Debt, USD Billions"
ODA/GIN_NGDP_FY,"Guinea GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/GIN_GGXCNL,"Guinea General Government Net Lending/Borrowing, USD Billions"
ODA/GIN_GGXCNL_NGDP,"Guinea General Government Net Lending/Borrowing, % of GDP"
ODA/GIN_BCA_NGDPD,"Guinea Current Account Balance, % of GDP"
ODA/GIN_GGXONLB_NGDP,"Guinea General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/GNB_NGDP_RPCH,"Guinea-Bissau GDP at Constant Prices, % change"
ODA/GIN_GGXWDN_NGDP,"Guinea General Government Net Debt, % of GDP"
ODA/GNB_NGDPD,"Guinea-Bissau GDP at Current Prices, USD Billions"
ODA/GIN_GGXWDG_NGDP,"Guinea General Government Gross Debt, % of GDP"
ODA/GNB_NGDPRPC,"Guinea-Bissau GDP per Capita at Constant Prices, LCU"
ODA/GIN_BCA,"Guinea Current Account Balance, USD Billions"
ODA/GNB_NGDPDPC,"Guinea-Bissau GDP per Capita at Current Prices, USD"
ODA/GNB_PPPPC,"Guinea-Bissau Per Capita GDP based on PPP Valuation, USD"
ODA/GNB_NGDP_R,"Guinea-Bissau GDP at Constant Prices, LCU Billions"
ODA/GNB_PPPSH,"Guinea-Bissau Share of World GDP based on PPP, %"
ODA/GNB_PPPEX,"Guinea-Bissau Implied PPP Conversion Rate, LCU per USD"
ODA/GNB_NGDP,"Guinea-Bissau GDP at Current Prices, LCU Billions"
ODA/GNB_NID_NGDP,"Guinea-Bissau Total Investment, % of GDP"
ODA/GNB_PCPI,"Guinea-Bissau Inflation Index, Average Consumer Prices"
ODA/GNB_NGDP_D,Guinea-Bissau GDP Deflator
ODA/GNB_PCPIE,"Guinea-Bissau Inflation Index, End of Period Consumer Prices"
ODA/GNB_NGDPPC,"Guinea-Bissau GDP per Capita at Current Prices, LCU"
ODA/GNB_PPPGDP,"Guinea-Bissau Country GDP based on PPP Valuation, USD Billions"
ODA/GNB_TM_RPCH,"Guinea-Bissau Imports of Goods and services, % change"
ODA/GNB_TX_RPCH,"Guinea-Bissau Exports of Goods and services, % change"
ODA/GNB_NGSD_NGDP,"Guinea-Bissau Gross National Savings, % of GDP"
ODA/GNB_LP,"Guinea-Bissau Population, Millions"
ODA/GNB_PCPIPCH,"Guinea-Bissau Inflation % change, Average Consumer Prices"
ODA/GNB_GGX,"Guinea-Bissau General Government Total Expenditure, USD Billions"
ODA/GNB_PCPIEPCH,"Guinea-Bissau Inflation % change, End of Period Consumer Prices"
ODA/GNB_GGXCNL,"Guinea-Bissau General Government Net Lending/Borrowing, USD Billions"
ODA/GNB_GGXCNL_NGDP,"Guinea-Bissau General Government Net Lending/Borrowing, % of GDP"
ODA/GNB_TMG_RPCH,"Guinea-Bissau Imports of Goods, % change"
ODA/GNB_GGXONLB_NGDP,"Guinea-Bissau General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/GNB_TXG_RPCH,"Guinea-Bissau Exports of Goods, % change"
ODA/GNB_GGXWDG_NGDP,"Guinea-Bissau General Government Gross Debt, % of GDP"
ODA/GNB_GGR,"Guinea-Bissau General Government Revenue, USD Billions"
ODA/GNB_GGR_NGDP,"Guinea-Bissau General Government Revenue, % of GDP"
ODA/GNB_BCA,"Guinea-Bissau Current Account Balance, USD Billions"
ODA/GNB_GGX_NGDP,"Guinea-Bissau General Government Total Expenditure, % of GDP"
ODA/GUY_NGDP_R,"Guyana GDP at Constant Prices, LCU Billions"
ODA/GNB_GGXONLB,"Guinea-Bissau General Government Primary Net Lending/Borrowing, USD Billions"
ODA/GUY_NGDPD,"Guyana GDP at Current Prices, USD Billions"
ODA/GNB_GGXWDG,"Guinea-Bissau General Government Gross Debt, USD Billions"
ODA/GUY_NGDPRPC,"Guyana GDP per Capita at Constant Prices, LCU"
ODA/GUY_NGDPPC,"Guyana GDP per Capita at Current Prices, LCU"
ODA/GNB_NGDP_FY,"Guinea-Bissau GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/GUY_PPPGDP,"Guyana Country GDP based on PPP Valuation, USD Billions"
ODA/GNB_BCA_NGDPD,"Guinea-Bissau Current Account Balance, % of GDP"
ODA/GUY_PPPSH,"Guyana Share of World GDP based on PPP, %"
ODA/GUY_NGDP_RPCH,"Guyana GDP at Constant Prices, % change"
ODA/GUY_NGDP,"Guyana GDP at Current Prices, LCU Billions"
ODA/GUY_NID_NGDP,"Guyana Total Investment, % of GDP"
ODA/GUY_PCPI,"Guyana Inflation Index, Average Consumer Prices"
ODA/GUY_NGDP_D,Guyana GDP Deflator
ODA/GUY_PCPIE,"Guyana Inflation Index, End of Period Consumer Prices"
ODA/GUY_NGDPDPC,"Guyana GDP per Capita at Current Prices, USD"
ODA/GUY_TM_RPCH,"Guyana Imports of Goods and services, % change"
ODA/GUY_PPPPC,"Guyana Per Capita GDP based on PPP Valuation, USD"
ODA/GUY_TX_RPCH,"Guyana Exports of Goods and services, % change"
ODA/GUY_PPPEX,"Guyana Implied PPP Conversion Rate, LCU per USD"
ODA/GUY_LP,"Guyana Population, Millions"
ODA/GUY_NGSD_NGDP,"Guyana Gross National Savings, % of GDP"
ODA/GUY_GGR_NGDP,"Guyana General Government Revenue, % of GDP"
ODA/GUY_PCPIPCH,"Guyana Inflation % change, Average Consumer Prices"
ODA/GUY_GGX_NGDP,"Guyana General Government Total Expenditure, % of GDP"
ODA/GUY_PCPIEPCH,"Guyana Inflation % change, End of Period Consumer Prices"
ODA/GUY_GGXCNL_NGDP,"Guyana General Government Net Lending/Borrowing, % of GDP"
ODA/GUY_TMG_RPCH,"Guyana Imports of Goods, % change"
ODA/GUY_GGSB_NPGDP,"Guyana General Government Structural Balance, % of GDP"
ODA/GUY_TXG_RPCH,"Guyana Exports of Goods, % change"
ODA/GUY_GGR,"Guyana General Government Revenue, USD Billions"
ODA/GUY_GGXWDN,"Guyana General Government Net Debt, USD Billions"
ODA/GUY_GGX,"Guyana General Government Total Expenditure, USD Billions"
ODA/GUY_GGXWDG,"Guyana General Government Gross Debt, USD Billions"
